Specimen,Subfamily,Tribe,Genus,Species,Element,Formation,Member,State,Region,Epoch,NALMA,TrueArea(cm2),EnamelLength(cm),OEI
AMNH FM 39407,Equinae,Equini,Equus,complicatus,P3,,,Missouri,Great Plains,Pleistocene,Irv/Rancho,6.081,27.783,11.267
AMNH FM 55595,Equinae,Equini,Equus,fraternus,,Phosphate Workings,,South Carolina,Eastern US ,Pleistocene,Irv/Rancho,5.761,25.552,10.646
AMNH FM 8175,Equinae,"""Merychippini""",Acritohippus,sp.,P3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,3.176,17.755,9.963
AMNH FM 8347,Equinae,"""Merychippini""",Merychippus,republicanus,P3,,,Nebraska,Great Plains,Miocene,Clarendonian,4.007,21.534,10.758
AMNH FM 9201,Equinae,Equini,Equus,sp.,,Phosphate Workings,,South Carolina,Eastern US ,Pleistocene,Irv/Rancho,4.809,24.023,10.955
AMNH FM 9203,Equinae,Equini,Equus,fraternus,P3,Phosphate Workings,,South Carolina,Eastern US ,Pleistocene,Irv/Rancho,5.461,28.599,12.238
AMNH FM 9395,Anchitheriinae,"""Anchitheriini""",Hypohippus,osborni,P3,Pawnee Buttes,,Colorado,Great Plains,Pleistocene,Barstovian,4.835,15.287,6.952
AMNH FM 9400 ,Equinae,Equini,Merychippus,n. sp.,P3,Pawnee Creek,,Colorado,Great Plains,Miocene,Clarendonian,2.7,14.844,9.034
AMNH FM 9820,Equinae,Equini,Protohippus ,simus,P3,,,South Dakota,Great Plains,,,5.233,19.251,8.415
AMNH FM 9967,Equinae,Equini,Equus,sp.,,Cave,,Pennsylvania,Eastern US,Pleistocene,Irv/Rancho,5.201,23.84,10.454
CIT 363,Equinae,Hipparionini,Merychippus,seversus,P2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,3.648,16.505,8.641
CIT 363,Equinae,Hipparionini,Merychippus,seversus,P3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,4.008,15.656,7.820
CIT 363,Equinae,Hipparionini,Merychippus,seversus,P4,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,4.584,16.729,7.814
CIT 363,Equinae,Hipparionini,Merychippus,seversus,M1,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,4.638,17.339,8.051
CIT 363,Equinae,Hipparionini,Merychippus,seversus,M2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,4.289,18.302,8.837
CIT 363,Equinae,Hipparionini,Merychippus,seversus,M3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,3.726,17.244,8.933
JODA 10014,Equinae,Hipparionini,Hipparion,sp.,,Juntura,,Oregon,Columbia Plateau,Miocene,Clarendonian,4.2,23.086,11.265
JODA 10703,Anchitheriinae,"""Anchitheriini""",Parahippus ,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.196,13.031,8.793
"JODA 1079, A",Equinae,Hipparionini,Merychippus ,seversus,P2,Simtustus,,Oregon,Columbia Plateau,Miocene,Barstovian,2.499,14.944,9.453
"JODA 1079, A",Equinae,Hipparionini,Merychippus ,seversus,P3,Simtustus,,Oregon,Columbia Plateau,Miocene,Barstovian,2.736,16.116,9.743
"JODA 1079, A",Equinae,Hipparionini,Merychippus ,seversus,P4,Simtustus,,Oregon,Columbia Plateau,Miocene,Barstovian,2.647,16.973,10.432
"JODA 1079, A",Equinae,Hipparionini,Merychippus ,seversus,M1,Simtustus,,Oregon,Columbia Plateau,Miocene,Barstovian,2.301,15.083,9.943
"JODA 1079, A",Equinae,Hipparionini,Merychippus ,seversus,M2,Simtustus,,Oregon,Columbia Plateau,Miocene,Barstovian,2.219,15.445,10.368
JODA 1316,Equinae,Hipparionini,Merychippus ,seversus,P2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.478,14.645,9.303
JODA 1316,Equinae,Hipparionini,Merychippus ,seversus,P3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.262,16.149,10.737
JODA 1316,Equinae,Hipparionini,Merychippus ,seversus,P4,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.575,16.452,10.253
JODA 1316,Equinae,Hipparionini,Merychippus ,seversus,M1,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.263,15.504,10.306
JODA 1316,Equinae,Hipparionini,Merychippus ,seversus,M2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.419,15.807,10.163
JODA 1316,Equinae,Hipparionini,Merychippus ,seversus,M3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,1.716,13.406,10.234
JODA 1318,Equinae,"""Merychippini""",Merychippus ,sp.,P3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.463,14.888,9.486
JODA 1318,Equinae,"""Merychippini""",Merychippus ,sp.,P4,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.418,15.994,10.286
JODA 1318,Equinae,"""Merychippini""",Merychippus ,sp.,M1,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.206,15.565,10.480
JODA 1318,Equinae,"""Merychippini""",Merychippus ,sp.,M2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.23,15.632,10.468
JODA 1318,Equinae,"""Merychippini""",Merychippus ,sp.,M3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,1.505,12.838,10.465
JODA 1332,Anchitheriinae,"""Anchitheriini""",Archaeohippus,sp.,P3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,0.965,7.41,7.543
JODA 1332,Anchitheriinae,"""Anchitheriini""",Archaeohippus,sp.,P4,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,0.94,7.367,7.598
JODA 1332,Anchitheriinae,"""Anchitheriini""",Archaeohippus,sp.,M1,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,0.92,9.343,9.741
JODA 1332,Anchitheriinae,"""Anchitheriini""",Archaeohippus,sp.,M2,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,0.939,8.827,9.109
JODA 1332,Anchitheriinae,"""Anchitheriini""",Archaeohippus,sp.,M3,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,0.391,5.176,8.278
JODA 1333,Equinae,Equini,Pliohippus,sp.,P2,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,4.674,19.134,8.850
JODA 1333,Equinae,Equini,Pliohippus,sp.,P3,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,4.908,20.646,9.319
JODA 1333,Equinae,Equini,Pliohippus,sp.,P4,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,4.658,21.212,9.828
JODA 1333,Equinae,Equini,Pliohippus,sp.,M1,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,4.534,19.822,9.309
JODA 1333,Equinae,Equini,Pliohippus,sp.,M2,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,4.232,20.688,10.056
JODA 1333,Equinae,Equini,Pliohippus,sp.,M3,Rattlesnake,,Oregon,Columbia Plateau,Miocene,Hemphillian,2.843,17.237,10.223
JODA 1979,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.538,17.451,10.954
JODA 1980,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.337,15.78,10.322
JODA 1981,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.336,15.001,9.815
JODA 1982,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.425,16.656,10.696
JODA 1987,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.292,16.437,10.857
JODA 1988,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.689,20.008,12.201
JODA 1990,Equinae,"""Merychippini""",Merychippus,sp.,,Mascall,,Oregon,Columbia Plateau,Miocene,Barstovian,2.689,20.008,12.201
